,bandpass,rho_fwhm,pval_fwhm
0,0.1,-0.87875,4.2580570449002025e-14
1,0.2,-0.89094,6.0353227717694536e-15
2,0.3,-0.79268,6.548801933445188e-10
3,0.4,-0.71397,3.3404811798981766e-07
4,0.5,-0.3601,0.02074038999528188
5,0.6,0.15871,0.32162818484000233
6,0.7,0.5561,0.00016000021961663755
7,0.8,0.71045,1.9562209929961114e-07
8,0.9,0.78362,1.380661998945754e-09
9,1.0,0.83676,9.457025488903759e-12
10,1.1,0.87178,1.1863777900632754e-13
11,1.2,0.89338,3.971490137187782e-15
12,1.3,0.91359,7.942502120931548e-17
13,1.4,0.9169,3.822331243935178e-17
14,1.5,0.91725,3.5328800420421126e-17
15,1.6,0.92038,1.7116358704615323e-17
16,1.7,0.91794,3.014932973142112e-17
17,1.8,0.9169,3.822331243935178e-17
18,1.9,0.92387,7.38306056871542e-18
19,2.0,0.92369,7.707330006528086e-18
20,2.1,0.92073,1.576336830029012e-17
21,2.2,0.91916,2.276720577218043e-17
22,2.3,0.92003,1.8578528367642458e-17
23,2.4,0.91603,4.6470489357991633e-17
24,2.5,0.91585,4.8309984020861357e-17
25,2.6,0.9122,1.0713093721386544e-16
26,2.7,0.91429,6.825828759957638e-17
27,2.8,0.91272,9.581532486167402e-17
28,2.9,0.91324,8.56349152054717e-17
29,3.0,0.9115,1.2419035391588006e-16
30,3.1,0.90697,3.1531668337019544e-16
31,3.2,0.9061,3.7514329895040436e-16
32,3.3,0.90174,8.724820226482683e-16
33,3.4,0.90453,5.107124649314254e-16
34,3.5,0.90035,1.1336009580045027e-15
35,3.6,0.90244,7.643059938616891e-16
36,3.7,0.90383,5.847679448237539e-16
37,3.8,0.89965,1.2902876222667933e-15
38,3.9,0.89233,4.75748597528663e-15
39,4.0,0.89791,1.7761258736968147e-15
40,4.1,0.90017,1.1709961652164159e-15
41,4.2,0.89721,2.0150772129653393e-15
42,4.3,0.90035,1.1336009580045027e-15
43,4.4,0.89983,1.2493051973138391e-15
44,4.5,0.90418,5.465578226596041e-16
45,4.6,0.8953,2.8382118535974086e-15
46,4.7,0.88711,1.1423285664441464e-14
47,4.8,0.89617,2.431020684642407e-15
48,4.9,0.89721,2.0150772129653393e-15
49,5.0,0.89617,2.431020684642407e-15
50,5.1,0.89303,4.218759070714276e-15
51,5.2,0.89286,4.347769610033225e-15
52,5.3,0.89355,3.853043431156357e-15
53,5.4,0.89739,1.952648133594195e-15
54,5.5,0.90174,8.724820226482683e-16
55,5.6,0.89756,1.8920465647114918e-15
