,bandpass,rho_fwhm,pval_fwhm
0,0.1,-0.8235,6.988503205511398e-23
1,0.2,-0.8204,1.3781748834008984e-22
2,0.3,-0.48322,1.8553034455420968e-06
3,0.4,-0.56187,1.2285348372347196e-08
4,0.7,0.45343,6.37396780732631e-06
5,0.8,0.64295,6.352214397403291e-12
6,0.9,0.74991,1.8138714641879346e-17
7,1.0,0.77369,2.475612228406338e-19
8,1.1,0.78356,4.30019405824217e-20
9,1.2,0.80111,1.5104445185393309e-21
10,1.3,0.80742,4.174445626606521e-22
11,1.4,0.81675,5.692084492698501e-23
12,1.5,0.83228,1.4679134262683823e-25
13,1.6,0.82263,1.530108981335349e-23
14,1.7,0.81736,4.982694478493998e-23
15,1.8,0.81935,3.204727530989819e-23
16,1.9,0.82148,1.9846608714031963e-23
17,2.0,0.81925,3.2737469914998407e-23
18,2.1,0.8194,3.1707504690104974e-23
19,2.2,0.8128,1.3408373407196383e-22
20,2.3,0.80319,1.6800257390675665e-21
21,2.4,0.80119,1.486544963603349e-21
22,2.5,0.79815,2.720036287438654e-21
23,2.6,0.7859,4.5608551236912945e-20
24,2.7,0.79194,9.051304582681166e-21
25,2.8,0.77904,9.695091957651501e-20
26,2.9,0.77047,6.776829594841995e-19
27,3.0,0.77068,4.148035167078384e-19
28,3.1,0.77195,3.3371642427011046e-19
29,3.2,0.76435,1.8678130288945374e-18
30,3.3,0.76208,1.737660088487629e-18
31,3.4,0.75555,4.955314189469813e-18
32,3.5,0.74166,6.208556826420461e-17
33,3.6,0.74634,2.0558439100409194e-17
34,3.7,0.73701,8.184299465416163e-17
35,3.8,0.71792,1.6758766440729896e-15
36,3.9,0.72344,5.513697009585953e-16
37,4.0,0.7176,1.2116031852815638e-15
38,4.1,0.7047,9.111017716697412e-15
39,4.2,0.70253,1.1928494038005683e-14
40,4.3,0.69356,3.538365301376225e-14
41,4.4,0.69372,3.4697078304387934e-14
42,4.5,0.6926,3.963214449498712e-14
43,4.6,0.69,5.385652696361408e-14
44,4.7,0.6832,1.1827744749921068e-13
45,4.8,0.66873,5.892603994596193e-13
46,4.9,0.66761,6.647294075154189e-13
47,5.0,0.66248,1.147964845421854e-12
48,5.1,0.65413,2.727674968233271e-12
49,5.2,0.64267,1.4770640431482093e-11
50,5.3,0.63411,3.306725953320747e-11
51,5.4,0.62441,8.00444469536969e-11
52,5.5,0.61326,2.129787762869256e-10
53,5.6,0.59614,8.902883762365975e-10
