,bandpass,period,FAP,input_period
0,0.1,"(80.33898243024939,)","(9.791516199815838e-11,)","[80, 85]"
1,0.2,"(79.91368785533624,)","(5.612737740530212e-11,)","[80, 85]"
2,0.3,"(80.76882799601758,)","(1.7179748372157528e-05,)","[80, 85]"
3,0.4,"(81.33639566377762,)","(3.2146121790675364e-06,)","[80, 85]"
4,0.5,"(89.37641804422826,)","(7.896192771423983e-05,)","[80, 85]"
5,0.7,"(82.98894767431592,)","(1.7543233153831197e-05,)","[80, 85]"
6,0.8,"(81.64246745603484,)","(1.3463955704306417e-06,)","[80, 85]"
7,0.9,"(79.91368785533624,)","(1.980724732644204e-07,)","[80, 85]"
8,1.0,"(79.91368785533624,)","(2.464200004112225e-09,)","[80, 85]"
9,1.1,"(80.33898243024939,)","(1.6500410874144258e-10,)","[80, 85]"
10,1.2,"(80.33898243024939,)","(2.1708741041062333e-11,)","[80, 85]"
11,1.3,"(80.33898243024939,)","(1.512509309872381e-11,)","[80, 85]"
12,1.4,"(80.33898243024939,)","(9.598056717831948e-12,)","[80, 85]"
13,1.5,"(80.33898243024939,)","(2.5855418532983037e-12,)","[80, 85]"
14,1.6,"(80.33898243024939,)","(9.971710265657315e-12,)","[80, 85]"
15,1.7,"(80.33898243024939,)","(7.829898763862692e-12,)","[80, 85]"
16,1.8,"(80.33898243024939,)","(9.385643363076367e-12,)","[80, 85]"
17,1.9,"(80.33898243024939,)","(5.698275081444782e-12,)","[80, 85]"
18,2.0,"(80.33898243024939,)","(2.367537668715238e-12,)","[80, 85]"
19,2.1,"(80.33898243024939,)","(6.862984472843696e-13,)","[80, 85]"
20,2.2,"(79.91368785533624,)","(2.0769371559815406e-13,)","[80, 85]"
21,2.3,"(80.33898243024939,)","(4.60898338880732e-13,)","[80, 85]"
22,2.4,"(80.33898243024939,)","(6.852436451142881e-13,)","[80, 85]"
23,2.5,"(79.91368785533624,)","(4.3814003274453195e-13,)","[80, 85]"
24,2.6,"(79.91368785533624,)","(1.3322342031703457e-13,)","[80, 85]"
25,2.7,"(79.91368785533624,)","(1.850235947465222e-13,)","[80, 85]"
26,2.8,"(79.91368785533624,)","(2.804858855916279e-13,)","[80, 85]"
27,2.9,"(79.91368785533624,)","(3.182027843765538e-13,)","[80, 85]"
28,3.0,"(79.49287237643331,)","(8.734262605344119e-13,)","[80, 85]"
29,3.1,"(79.49287237643331,)","(1.6514006515115867e-12,)","[80, 85]"
30,3.2,"(79.07646560512012,)","(2.9660994993875876e-12,)","[80, 85]"
31,3.3,"(79.07646560512012,)","(4.846795931926324e-12,)","[80, 85]"
32,3.4,"(79.07646560512012,)","(4.9341887252901365e-12,)","[80, 85]"
33,3.5,"(79.07646560512012,)","(6.5879848015986185e-12,)","[80, 85]"
34,3.6,"(79.49287237643331,)","(3.2420986250092077e-12,)","[80, 85]"
35,3.7,"(79.49287237643331,)","(1.0081054315239764e-11,)","[80, 85]"
36,3.8,"(79.49287237643331,)","(2.707364416030494e-11,)","[80, 85]"
37,3.9,"(79.49287237643331,)","(6.125406419393794e-11,)","[80, 85]"
38,4.0,"(79.49287237643331,)","(8.589177740847131e-11,)","[80, 85]"
39,4.1,"(79.49287237643331,)","(1.050671529082784e-10,)","[80, 85]"
40,4.2,"(79.49287237643331,)","(2.4218653688139846e-10,)","[80, 85]"
41,4.3,"(79.49287237643331,)","(2.613358971519052e-10,)","[80, 85]"
42,4.4,"(79.49287237643331,)","(3.4416884358997545e-10,)","[80, 85]"
43,4.5,"(79.49287237643331,)","(6.222177197641715e-10,)","[80, 85]"
44,4.6,"(79.49287237643331,)","(5.761697072000911e-10,)","[80, 85]"
45,4.7,"(79.49287237643331,)","(1.562363825129038e-09,)","[80, 85]"
46,4.8,"(79.49287237643331,)","(1.3676944291851555e-09,)","[80, 85]"
47,4.9,"(79.49287237643331,)","(3.2534449633129e-09,)","[80, 85]"
48,5.0,"(79.49287237643331,)","(6.846287479890017e-09,)","[80, 85]"
49,5.1,"(79.49287237643331,)","(1.3430093441339263e-08,)","[80, 85]"
50,5.2,"(79.49287237643331,)","(2.391270935987305e-08,)","[80, 85]"
51,5.3,"(79.49287237643331,)","(2.955611637298228e-08,)","[80, 85]"
52,5.4,"(79.07646560512012,)","(4.109598789565376e-08,)","[80, 85]"
53,5.5,"(79.49287237643331,)","(7.773747718754186e-08,)","[80, 85]"
54,5.6,"(79.49287237643331,)","(2.153737273386554e-07,)","[80, 85]"
