,bandpass,rho_fwhm,pval_fwhm
0,0.1,-0.89077,6.216094855087392e-15
1,0.2,-0.45505,0.0027961949930270175
2,0.3,-0.77091,3.7131202593325505e-09
3,0.4,-0.07613,0.6361438070323591
4,0.5,0.69861,3.791494311355954e-07
5,0.6,0.68589,7.454799995537927e-07
6,0.7,0.86237,4.3209531246976173e-13
7,0.8,0.8831,2.1727704909937046e-14
8,0.9,0.92544,4.991210254701306e-18
9,1.0,0.91829,2.783705579246842e-17
10,1.1,0.92195,1.1780964987582808e-17
11,1.2,0.92352,8.045022770719516e-18
12,1.3,0.92422,6.772795660705898e-18
13,1.4,0.91463,6.32476979505347e-17
14,1.5,0.9176,3.264217552884843e-17
15,1.6,0.9122,1.0713093721386544e-16
16,1.7,0.91028,1.6037246446415704e-16
17,1.8,0.90854,2.296425443835295e-16
18,1.9,0.90157,9.016995512292545e-16
19,2.0,0.89791,1.7761258736968147e-15
20,2.1,0.89321,4.093364357272041e-15
21,2.2,0.89077,6.216094855087392e-15
22,2.3,0.89425,3.411751527495123e-15
23,2.4,0.89355,3.853043431156357e-15
24,2.5,0.89878,1.514936634703026e-15
25,2.6,0.90174,8.724820226482683e-16
26,2.7,0.90192,8.44159359600996e-16
27,2.8,0.90348,6.254888866623937e-16
28,2.9,0.9061,3.7514329895040436e-16
29,3.0,0.90383,5.847679448237539e-16
30,3.1,0.90697,3.1531668337019544e-16
31,3.2,0.90279,7.150899315877344e-16
32,3.3,0.90453,5.107124649314254e-16
33,3.4,0.9054,4.305573290812532e-16
34,3.5,0.90749,2.8387072824882595e-16
35,3.6,0.90523,4.455713104675811e-16
36,3.7,0.90523,4.455713104675811e-16
37,3.8,0.90453,5.107124649314254e-16
38,3.9,0.90105,9.94990209402541e-16
39,4.0,0.90087,1.0280598237461025e-15
40,4.1,0.89739,1.952648133594195e-15
41,4.2,0.9,1.2095529650193908e-15
42,4.3,0.90192,8.44159359600996e-16
43,4.4,0.89791,1.7761258736968147e-15
44,4.5,0.90279,7.150899315877344e-16
45,4.6,0.90174,8.724820226482683e-16
46,4.7,0.89965,1.2902876222667933e-15
47,4.8,0.89861,1.564084710609867e-15
48,4.9,0.89756,1.8920465647114918e-15
49,5.0,0.89024,6.789529856542233e-15
50,5.1,0.89129,5.688544534158836e-15
51,5.2,0.89216,4.901962166599972e-15
52,5.3,0.89146,5.522285000567128e-15
53,5.4,0.88833,9.348032915030648e-15
54,5.5,0.88554,1.473281658726702e-14
55,5.6,0.88449,1.7420503140152778e-14
56,5.7,0.87561,6.803877925510458e-14
57,5.8,0.87962,3.7297080114095456e-14
58,5.9,0.87439,8.136524549588765e-14
59,6.0,0.87334,9.470777173522734e-14
60,6.1,0.87718,5.391088986832852e-14
61,6.2,0.87491,7.537815112494624e-14
62,6.3,0.86742,2.1848294243654377e-13
63,6.4,0.87056,1.4107118805219317e-13
64,6.5,0.87003,1.5185938347632084e-13
65,6.6,0.87613,6.298177622663889e-14
66,6.7,0.86411,3.426046055744886e-13
67,6.8,0.873,9.959527039603823e-14
68,6.9,0.87003,1.5185938347632084e-13
69,7.0,0.87073,1.376384616711319e-13
70,7.1,0.86812,1.9843536953434336e-13
71,7.2,0.8615,4.846848792762291e-13
72,7.3,0.86376,3.589724920560429e-13
73,7.4,0.85906,6.658040728017287e-13
74,7.5,0.85801,7.614751009239057e-13
