,bandpass,period,FAP
0,0.1,[81.20329799442665],[1.1914022887134455e-15]
1,0.2,[nan],[nan]
2,0.3,[81.64246745603484],[6.416791630810884e-09]
3,0.4,[nan],[nan]
4,0.5,[nan],[nan]
5,0.6,[79.49287237643331],[0.00017929787843074945]
6,0.7,[79.91368785533624],[7.073996559534398e-10]
7,0.8,[80.76882799601758],[3.447154075352389e-10]
8,0.9,[80.33898243024939],[1.756309947747963e-12]
9,1.0,[79.91368785533624],[3.552434559549397e-13]
10,1.1,[79.91368785533624],[5.935431472306477e-14]
11,1.2,[80.33898243024939],[5.58250325383351e-13]
12,1.3,[79.91368785533624],[1.8943504790792135e-12]
13,1.4,[80.33898243024939],[3.729751231975589e-12]
14,1.5,[80.33898243024939],[8.544857012823066e-13]
15,1.6,[80.33898243024939],[1.71429212063137e-12]
16,1.7,[80.33898243024939],[1.0722788454254881e-12]
17,1.8,[80.33898243024939],[1.0610270821300464e-12]
18,1.9,[79.91368785533624],[2.0456855211791027e-12]
19,2.0,[79.91368785533624],[6.158426837871911e-12]
20,2.1,[80.33898243024939],[1.2729076300329151e-11]
21,2.2,[80.33898243024939],[2.5773708237488013e-11]
22,2.3,[80.33898243024939],[1.8802374904273583e-11]
23,2.4,[80.33898243024939],[1.2380285682314667e-11]
24,2.5,[80.76882799601758],[4.448215265350013e-12]
25,2.6,[80.76882799601758],[2.5484251764393673e-12]
26,2.7,[80.76882799601758],[2.021398362421199e-12]
27,2.8,[80.76882799601758],[2.3872142726416482e-12]
28,2.9,[80.76882799601758],[1.3933679681934155e-12]
29,3.0,[80.76882799601758],[1.955599698108037e-12]
30,3.1,[80.76882799601758],[2.136042225707728e-12]
31,3.2,[80.76882799601758],[2.703864844567567e-12]
32,3.3,[80.76882799601758],[3.3581296411006766e-12]
33,3.4,[80.76882799601758],[2.760427958933736e-12]
34,3.5,[80.76882799601758],[1.7879943195361984e-12]
35,3.6,[80.76882799601758],[2.099435460935421e-12]
36,3.7,[80.76882799601758],[3.584065332929664e-12]
37,3.8,[80.76882799601758],[2.8568193261425294e-12]
38,3.9,[80.76882799601758],[2.0359682270143193e-12]
39,4.0,[80.76882799601758],[2.2018304274688182e-12]
40,4.1,[80.76882799601758],[2.683843399412044e-12]
41,4.2,[80.76882799601758],[3.026400979098094e-12]
42,4.3,[80.76882799601758],[1.6197298465351393e-12]
43,4.4,[80.76882799601758],[2.4429534038684286e-12]
44,4.5,[80.76882799601758],[2.584527923745607e-12]
45,4.6,[80.76882799601758],[3.649283110847949e-12]
46,4.7,[80.33898243024939],[4.240987225030983e-12]
47,4.8,[80.33898243024939],[1.7503715396451914e-12]
48,4.9,[80.76882799601758],[1.1629728851151794e-12]
49,5.0,[80.76882799601758],[9.332493351790137e-13]
50,5.1,[80.76882799601758],[8.920383702164621e-13]
51,5.2,[80.76882799601758],[1.2294564907488666e-12]
52,5.3,[80.76882799601758],[3.5289832022731424e-12]
53,5.4,[80.76882799601758],[1.625657727775725e-11]
54,5.5,[80.76882799601758],[4.826993566020758e-11]
55,5.6,[80.76882799601758],[5.13993348982999e-11]
56,5.7,[80.76882799601758],[5.275315302508585e-11]
57,5.8,[80.76882799601758],[6.961468592877742e-11]
58,5.9,[80.76882799601758],[1.0284300347989668e-10]
59,6.0,[80.76882799601758],[1.4421513162477226e-10]
60,6.1,[80.76882799601758],[1.5873695515101283e-10]
61,6.2,[80.76882799601758],[1.7182199676219112e-10]
62,6.3,[80.76882799601758],[1.9119424589595805e-10]
63,6.4,[80.76882799601758],[2.656061877649348e-10]
64,6.5,[80.76882799601758],[2.9421682678032787e-10]
65,6.6,[80.76882799601758],[2.644467874214219e-10]
66,6.7,[80.76882799601758],[4.513132876549534e-10]
67,6.8,[80.76882799601758],[4.0712109402275813e-10]
68,6.9,[80.76882799601758],[3.3821025749147706e-10]
69,7.0,[80.76882799601758],[3.106118415555507e-10]
70,7.1,[80.76882799601758],[2.926705076000614e-10]
71,7.2,[80.76882799601758],[3.357302787985053e-10]
72,7.3,[80.76882799601758],[4.18435947397386e-10]
73,7.4,[80.76882799601758],[2.9427512737247263e-10]
74,7.5,[80.76882799601758],[3.3109565731908243e-10]
