,bandpass,period,FAP,input_period
0,0.1,"(79.47248076909325,)","(8.517519927301531e-13,)","[80, 85]"
1,0.2,"(79.89462497928172,)","(3.0692278900455966e-13,)","[80, 85]"
2,0.3,"(84.3765635621279,)","(0.0004607070529385069,)","[80, 85]"
3,0.4,"(82.98005592096179,)","(5.444836229884314e-09,)","[80, 85]"
4,0.5,"(85.82088068530248,)","(8.379958965261617e-07,)","[80, 85]"
5,0.6,"(91.01399204253029,)","(0.0002201182915897598,)",[85]
6,0.7,"(94.44289513041403,)","(3.4435817237657414e-05,)",[85]
7,0.8,"(77.42695268769103,)","(8.436577887059803e-07,)","[80, 85]"
8,0.9,"(77.82759079774885,)","(2.383922957472711e-09,)","[80, 85]"
9,1.0,"(78.2323965976698,)","(7.025588152251707e-12,)","[80, 85]"
10,1.1,"(78.64143545987739,)","(5.072942248593972e-14,)","[80, 85]"
11,1.2,"(78.64143545987739,)","(3.063129888720809e-15,)","[80, 85]"
12,1.3,"(78.64143545987739,)","(1.1342902171125047e-14,)","[80, 85]"
13,1.4,"(78.64143545987739,)","(2.2736884102152225e-15,)","[80, 85]"
14,1.5,"(78.6414354598774,)","(1.0598003459830807e-17,)","[80, 85]"
15,1.6,"(79.05477413118251,)","(1.4212676765014297e-17,)","[80, 85]"
16,1.7,"(79.05477413118251,)","(2.997917877937746e-18,)","[80, 85]"
17,1.8,"(79.05477413118251,)","(9.595898939788405e-19,)","[80, 85]"
18,1.9,"(79.05477413118251,)","(3.3650939306491387e-18,)","[80, 85]"
19,2.0,"(79.05477413118251,)","(2.162291641168184e-18,)","[80, 85]"
20,2.1,"(79.05477413118251,)","(8.838632124744524e-19,)","[80, 85]"
21,2.2,"(79.05477413118251,)","(5.904613368618525e-19,)","[80, 85]"
22,2.3,"(79.05477413118253,)","(8.836326613618827e-17,)","[80, 85]"
23,2.4,"(79.05477413118251,)","(2.98633776621578e-18,)","[80, 85]"
24,2.5,"(79.05477413118251,)","(1.0397026075214443e-17,)","[80, 85]"
25,2.6,"(79.05477413118253,)","(3.44986561485101e-16,)","[80, 85]"
26,2.7,"(79.05477413118251,)","(1.8358183654395813e-18,)","[80, 85]"
27,2.8,"(79.05477413118251,)","(6.5973210197336846e-18,)","[80, 85]"
28,2.9,"(79.05477413118253,)","(7.241966976997337e-16,)","[80, 85]"
29,3.0,"(79.05477413118251,)","(5.574019384439077e-17,)","[80, 85]"
30,3.1,"(79.05477413118251,)","(7.00964870567349e-17,)","[80, 85]"
31,3.2,"(79.05477413118253,)","(1.02506285249916e-14,)","[80, 85]"
32,3.3,"(79.05477413118251,)","(3.834606257231897e-16,)","[80, 85]"
33,3.4,"(79.05477413118251,)","(8.816416337695315e-16,)","[80, 85]"
34,3.5,"(79.05477413118253,)","(8.007957460757694e-14,)","[80, 85]"
35,3.6,"(79.05477413118251,)","(3.7563012664142025e-15,)","[80, 85]"
36,3.7,"(78.64143545987739,)","(2.000397494283045e-14,)","[80, 85]"
37,3.8,"(78.6414354598774,)","(1.792914803049661e-12,)","[80, 85]"
38,3.9,"(78.64143545987739,)","(1.417676260037573e-13,)","[80, 85]"
39,4.0,"(78.64143545987739,)","(3.0091907403667524e-13,)","[80, 85]"
40,4.1,"(78.6414354598774,)","(2.0700930017573388e-11,)","[80, 85]"
41,4.2,"(79.05477413118253,)","(4.289428897386375e-11,)","[80, 85]"
42,4.3,"(79.05477413118253,)","(5.3501003779878645e-11,)","[80, 85]"
43,4.4,"(79.05477413118253,)","(9.715701629581474e-11,)","[80, 85]"
44,4.5,"(79.05477413118253,)","(1.2542316615014085e-10,)","[80, 85]"
45,4.6,"(79.05477413118253,)","(2.3763083870644483e-10,)","[80, 85]"
46,4.7,"(79.05477413118253,)","(3.6122168277342204e-10,)","[80, 85]"
47,4.8,"(79.05477413118253,)","(1.5316106269038904e-09,)","[80, 85]"
48,4.9,"(78.6414354598774,)","(3.4308237795120886e-09,)","[80, 85]"
49,5.0,"(78.6414354598774,)","(6.81108293782434e-09,)","[80, 85]"
50,5.1,"(78.6414354598774,)","(1.4302986290721546e-08,)","[80, 85]"
51,5.2,"(78.6414354598774,)","(6.187449369081526e-08,)","[80, 85]"
52,5.3,"(78.6414354598774,)","(9.978943129764122e-08,)","[80, 85]"
53,5.4,"(78.6414354598774,)","(2.225073855405407e-07,)","[80, 85]"
54,5.5,"(78.6414354598774,)","(4.504382948825996e-07,)","[80, 85]"
55,5.6,"(78.6414354598774,)","(1.3555959877619397e-06,)","[80, 85]"
