,bandpass,period,FAP,input_period
0,0.1,"(81.20329799442665,)","(1.287466585087076e-15,)","[80, 85]"
1,0.3,"(82.08641304336896,)","(5.234650523727146e-09,)","[80, 85]"
2,0.6,"(79.49287237643331,)","(9.598357193762961e-05,)","[80, 85]"
3,0.7,"(79.91368785533624,)","(2.3035376845914166e-10,)","[80, 85]"
4,0.8,"(80.76882799601758,)","(1.4501069972390837e-10,)","[80, 85]"
5,0.9,"(80.33898243024939,)","(6.958665091940484e-13,)","[80, 85]"
6,1.0,"(79.91368785533624,)","(1.456658341730254e-13,)","[80, 85]"
7,1.1,"(79.91368785533624,)","(2.1722083802584663e-14,)","[80, 85]"
8,1.2,"(79.91368785533624,)","(2.143288817079223e-13,)","[80, 85]"
9,1.3,"(79.91368785533624,)","(7.072719773245342e-13,)","[80, 85]"
10,1.4,"(79.91368785533624,)","(1.3748175997333453e-12,)","[80, 85]"
11,1.5,"(80.33898243024939,)","(3.2814142471508623e-13,)","[80, 85]"
12,1.6,"(79.91368785533624,)","(7.235120586891467e-13,)","[80, 85]"
13,1.7,"(80.33898243024939,)","(4.481617384798581e-13,)","[80, 85]"
14,1.8,"(80.33898243024939,)","(4.219284047915997e-13,)","[80, 85]"
15,1.9,"(79.91368785533624,)","(7.831670744549084e-13,)","[80, 85]"
16,2.0,"(79.91368785533624,)","(2.2584770459372857e-12,)","[80, 85]"
17,2.1,"(79.91368785533624,)","(4.7911902897145835e-12,)","[80, 85]"
18,2.2,"(80.33898243024939,)","(9.953052056228233e-12,)","[80, 85]"
19,2.3,"(80.33898243024939,)","(6.763549863233403e-12,)","[80, 85]"
20,2.4,"(80.33898243024939,)","(4.487812573545229e-12,)","[80, 85]"
21,2.5,"(80.33898243024939,)","(1.6287341384741213e-12,)","[80, 85]"
22,2.6,"(80.33898243024939,)","(9.099407367641945e-13,)","[80, 85]"
23,2.7,"(80.33898243024939,)","(7.285440675896808e-13,)","[80, 85]"
24,2.8,"(80.33898243024939,)","(8.19056164595909e-13,)","[80, 85]"
25,2.9,"(80.76882799601758,)","(4.576855877302956e-13,)","[80, 85]"
26,3.0,"(80.76882799601758,)","(6.381533973495129e-13,)","[80, 85]"
27,3.1,"(80.33898243024939,)","(6.540908292050044e-13,)","[80, 85]"
28,3.2,"(80.33898243024939,)","(7.950677992283858e-13,)","[80, 85]"
29,3.3,"(80.33898243024939,)","(9.883297212791521e-13,)","[80, 85]"
30,3.4,"(80.33898243024939,)","(7.538364415764244e-13,)","[80, 85]"
31,3.5,"(80.33898243024939,)","(4.677649743531398e-13,)","[80, 85]"
32,3.6,"(80.33898243024939,)","(5.541876932974205e-13,)","[80, 85]"
33,3.7,"(80.76882799601758,)","(9.21186715094102e-13,)","[80, 85]"
34,3.8,"(80.76882799601758,)","(7.233860999966999e-13,)","[80, 85]"
35,3.9,"(80.33898243024939,)","(4.929487817217668e-13,)","[80, 85]"
36,4.0,"(80.33898243024939,)","(5.249459405401435e-13,)","[80, 85]"
37,4.1,"(80.33898243024939,)","(6.410438743581432e-13,)","[80, 85]"
38,4.2,"(80.76882799601758,)","(7.295599812645727e-13,)","[80, 85]"
39,4.3,"(80.76882799601758,)","(3.718158256281277e-13,)","[80, 85]"
40,4.4,"(80.76882799601758,)","(5.623174875011405e-13,)","[80, 85]"
41,4.5,"(80.33898243024939,)","(6.042429266951208e-13,)","[80, 85]"
42,4.6,"(80.33898243024939,)","(9.005237827737971e-13,)","[80, 85]"
43,4.7,"(80.33898243024939,)","(1.0243706381302845e-12,)","[80, 85]"
44,4.8,"(80.33898243024939,)","(4.108282008116118e-13,)","[80, 85]"
45,4.9,"(80.33898243024939,)","(2.5829431059668197e-13,)","[80, 85]"
46,5.0,"(80.33898243024939,)","(2.015907714195076e-13,)","[80, 85]"
47,5.1,"(80.33898243024939,)","(2.056576370763935e-13,)","[80, 85]"
48,5.2,"(80.76882799601758,)","(2.9647012205479124e-13,)","[80, 85]"
49,5.3,"(80.76882799601758,)","(8.41122934149224e-13,)","[80, 85]"
50,5.4,"(80.76882799601758,)","(4.360078544608512e-12,)","[80, 85]"
51,5.5,"(80.33898243024939,)","(1.3605453502865343e-11,)","[80, 85]"
52,5.6,"(80.33898243024939,)","(1.4624538833597488e-11,)","[80, 85]"
53,5.7,"(80.33898243024939,)","(1.4324729023710258e-11,)","[80, 85]"
54,5.8,"(80.33898243024939,)","(1.8707315108403393e-11,)","[80, 85]"
55,5.9,"(80.33898243024939,)","(2.7671424061818317e-11,)","[80, 85]"
56,6.0,"(80.33898243024939,)","(3.7899562961305576e-11,)","[80, 85]"
57,6.1,"(80.76882799601758,)","(4.1890773206556625e-11,)","[80, 85]"
58,6.2,"(80.33898243024939,)","(4.172427386703171e-11,)","[80, 85]"
59,6.3,"(80.76882799601758,)","(4.553449234733723e-11,)","[80, 85]"
60,6.4,"(80.76882799601758,)","(6.318436106112274e-11,)","[80, 85]"
61,6.5,"(80.76882799601758,)","(6.81446329146257e-11,)","[80, 85]"
62,6.6,"(80.76882799601758,)","(6.04943773081156e-11,)","[80, 85]"
63,6.7,"(80.76882799601758,)","(1.0598811870895086e-10,)","[80, 85]"
64,6.8,"(80.76882799601758,)","(9.685979107771915e-11,)","[80, 85]"
65,6.9,"(80.76882799601758,)","(7.643614847817172e-11,)","[80, 85]"
66,7.0,"(80.76882799601758,)","(6.719520850765551e-11,)","[80, 85]"
67,7.1,"(80.76882799601758,)","(6.323470554372777e-11,)","[80, 85]"
68,7.2,"(80.76882799601758,)","(7.640963399664023e-11,)","[80, 85]"
69,7.3,"(80.76882799601758,)","(9.678643234810714e-11,)","[80, 85]"
70,7.4,"(80.76882799601758,)","(6.250310106786398e-11,)","[80, 85]"
71,7.5,"(80.76882799601758,)","(6.643422037647411e-11,)","[80, 85]"
